ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
1,0,1,3931.7000002861,38,0
1,1,0,1654.09999990463,47,0
1,1,1,2694,46,0
1,0,1,2272.69999980927,27,0
1,1,1,2806.40000009537,28,0
1,1,1,1708.89999961853,18,0
1,0,0,1437.5,18,0
1,0,1,1484.7999997139,26,0
1,1,1,1425.2000002861,24,0
1,0,1,1361.69999980927,35,0
1,0,1,1496.59999990463,40,0
1,1,0,2187.69999980927,39,0
1,0,1,987,27,0
1,1,0,1349.59999990463,37,0
1,0,1,1032.09999990463,16,0
1,1,1,2001.2999997139,50,0
1,0,1,1621.7000002861,45,0
1,0,1,3370.40000009537,44,0
1,1,0,4377.59999990463,27,0
1,1,0,1172.2999997139,32,0
1,1,0,1332.09999990463,46,0
1,0,1,1260.80000019073,57,0
1,0,1,1291.5,60,0
1,1,0,1256.2999997139,64,0
2,0,1,2155.09999990463,60,1
2,0,1,1556.80000019073,55,1
2,1,1,2218.5,42,1
2,0,1,937.400000095367,66,1
2,1,1,1285.19999980927,64,1
2,1,1,1546.80000019073,45,1
2,0,1,1159.19999980927,57,1
2,1,1,1345.5,54,1
2,0,1,1263,59,1
2,1,0,3519.40000009537,24,1
2,0,1,1185.59999990463,51,1
2,0,1,1090.2999997139,54,1
2,1,1,1521.30000019073,58,1
2,1,1,1254.80000019073,42,1
2,1,1,1409.40000009537,60,1
2,0,1,1252.2999997139,62,1
2,1,1,1468.30000019073,57,1
2,1,1,1516.69999980927,61,1
2,1,1,1318.59999990463,55,1
2,0,1,1450.5,73,1
2,1,1,1577.5,56,1
2,0,1,1665.60000038147,60,1
2,0,1,1153.40000009537,70,1
2,0,1,1014.60000038147,71,1
3,0,1,2073.39999961853,49,1
3,1,0,1656.09999990463,42,1
3,0,1,1038.90000009537,54,1
3,0,1,1252.80000019073,62,1
3,0,1,916.699999809265,59,1
3,0,1,1178,70,1
3,0,1,1026.7000002861,70,1
3,1,1,4370.30000019073,20,1
3,0,1,1150.59999990463,54,1
3,1,1,5034.19999980927,13,1
3,1,1,3248.90000009537,11,1
3,1,1,2854.7999997139,58,1
3,0,1,6688.19999980927,44,1
3,1,1,1518.89999961853,60,1
3,0,1,1205.89999961853,67,1
3,0,1,1469.59999990463,56,1
3,0,1,1117.69999980927,79,1
3,1,1,2524.2000002861,45,1
3,1,1,1613.59999990463,57,1
3,1,1,1375.09999990463,63,1
3,1,1,1536.09999990463,56,1
3,0,1,964.400000095367,86,1
3,1,1,1107.5,65,1
3,1,1,1135.59999990463,54,1
2,1,1,1339.7999997139,49,1
2,1,1,1096.89999961853,59,1
2,1,1,977.699999809265,56,1
2,0,1,1866.30000019073,33,1
2,0,1,1928.69999980927,27,1
2,0,0,2279.7000002861,15,1
2,0,1,1694.19999980927,42,1
2,1,1,1396.5,56,1
2,0,0,2509.2999997139,22,1
2,0,1,1267.59999990463,56,1
2,1,1,1283.90000009537,56,1
2,0,1,1608.60000038147,41,1
2,1,0,30791.9000000954,26,1
2,0,1,1017.09999990463,71,1
2,1,1,1967.2000002861,54,1
2,1,1,1204.30000019073,58,1
2,0,1,1678.09999990463,73,1
2,0,1,1251.90000009537,87,1
2,1,1,1139.7000002861,59,1
2,1,1,1192.90000009537,59,1
2,1,1,1598.39999961853,55,1
2,1,1,1203.09999990463,49,1
2,0,1,1440.5,46,1
2,0,1,1926.80000019073,61,1
1,1,1,4428.2999997139,34,0
1,1,1,1969.7999997139,43,0
1,1,0,1708.59999990463,28,0
1,0,1,837.900000095367,62,0
1,0,1,813.799999713898,73,0
1,0,1,701,65,0
1,0,1,557.89999961853,71,0
1,1,1,698.599999904633,43,0
1,0,1,686.199999809265,62,0
1,0,1,2930.59999990463,61,0
1,0,1,774.5,71,0
1,0,1,840.099999904633,64,0
1,0,1,679.5,67,0
1,1,1,557.699999809265,59,0
1,0,1,757.5,65,0
1,1,1,495.900000095367,68,0
1,1,1,703.299999713898,56,0
1,0,1,455.89999961853,56,0
1,1,1,501.200000286102,59,0
1,1,1,458.199999809265,55,0
1,0,0,675.299999713898,9,0
1,1,1,1848.5,53,0
1,1,1,3299.40000009537,15,0
1,1,1,1213,46,0
3,1,0,4273.69999980927,28,1
3,1,0,822,45,1
3,0,1,466.099999904633,79,1
3,0,1,823,46,1
3,1,0,819.10000038147,55,1
3,0,1,812,58,1
3,1,0,471.900000095367,68,1
3,0,1,521.400000095367,66,1
3,0,1,618.89999961853,76,1
3,0,1,2027.90000009537,65,1
3,1,0,874.200000286102,75,1
3,1,0,840.60000038147,72,1
3,1,0,606.700000286102,71,1
3,1,0,1174.40000009537,71,1
3,1,0,509.199999809265,79,1
3,1,0,997.300000190735,22,1
3,0,1,656.89999961853,81,1
3,0,1,480.699999809265,76,1
3,0,1,632.5,76,1
3,0,1,629.699999809265,76,1
3,0,1,661.39999961853,77,1
3,1,0,462.199999809265,77,1
3,0,1,637.800000190735,74,1
3,1,0,1258,37,1
2,0,1,1697,62,1
2,1,1,1274.59999990463,31,1
2,0,1,830.799999713898,71,1
2,0,1,704.099999904633,74,1
2,1,1,1031.19999980927,43,1
2,1,1,698.699999809265,31,1
2,0,1,516,72,1
2,1,1,922.799999713898,52,1
2,1,1,558.599999904633,59,1
2,1,0,1442.90000009537,42,1
2,0,1,593.799999713898,76,1
2,1,1,663.599999904633,44,1
2,1,1,697.199999809265,54,1
2,1,1,910.900000095367,57,1
2,1,1,1398.19999980927,27,1
2,0,1,516.599999904633,60,1
2,0,1,535.300000190735,69,1
2,0,1,692.300000190735,71,1
2,1,1,1001,43,1
2,0,1,818.200000286102,59,1
2,0,1,812.599999904633,75,1
2,0,1,719.099999904633,77,1
2,1,1,534.89999961853,54,1
2,0,1,1328.59999990463,70,1
3,1,0,2390.59999990463,58,1
3,0,1,1158.30000019073,65,1
3,0,1,864.199999809265,68,1
3,1,0,753.699999809265,81,1
3,1,0,1981.09999990463,76,1
3,1,0,448.199999809265,75,1
3,0,1,587.89999961853,74,1
3,0,1,521.299999713898,74,1
3,0,1,538.39999961853,83,1
3,0,1,493.10000038147,96,1
3,1,0,570.39999961853,90,1
3,0,1,428.400000095367,89,1
3,0,1,475.199999809265,82,1
3,1,1,1640.09999990463,56,1
3,1,1,1518.5,23,1
3,1,1,1642.59999990463,44,1
3,0,1,655.099999904633,83,1
3,1,1,771.5,55,1
3,1,1,2283.09999990463,6,1
3,1,1,3218.80000019073,18,1
3,0,1,1004.30000019073,91,1
3,0,1,3265.69999980927,58,1
3,0,1,1192.7999997139,71,1
3,1,1,937.89999961853,57,1
1,0,1,1946.80000019073,56,1
1,0,1,1133.30000019073,61,1
1,0,1,1495.59999990463,68,1
1,0,1,941.700000286102,78,1
1,0,1,1004.30000019073,71,1
1,0,1,1085.40000009537,73,1
1,1,1,2663.69999980927,44,1
1,0,1,1736.80000019073,59,1
1,1,1,1914.7999997139,46,1
1,0,1,1202.40000009537,46,1
1,1,1,2361.39999961853,43,1
1,1,1,1208,43,1
1,1,1,2503.19999980927,45,1
1,1,1,2360.7000002861,53,1
1,1,1,1583.09999990463,47,1
1,0,1,1094.30000019073,68,1
1,0,1,1162.19999980927,83,1
1,0,1,1562.5,54,1
1,1,1,1180.59999990463,44,1
1,1,1,1089.30000019073,53,1
1,0,1,1234.69999980927,44,1
1,1,1,2102.19999980927,18,1
1,1,1,1455.2999997139,35,1
1,1,1,1412,55,1
3,0,1,1367.39999961853,61,1
3,0,1,1572.69999980927,80,1
3,0,1,1217.40000009537,69,1
3,0,1,1268.40000009537,72,1
3,1,0,1319.90000009537,72,1
3,0,1,1193.69999980927,79,1
3,1,0,1315.89999961853,77,1
3,1,0,1126.7999997139,76,1
3,0,1,1231.69999980927,87,1
3,1,0,2988.5,76,1
3,1,0,1541.80000019073,83,1
3,1,0,1785.80000019073,78,1
3,1,0,1440,77,1
3,1,0,1357.19999980927,78,1
3,1,0,2519.59999990463,36,1
3,0,1,10161.1999998093,24,1
3,0,1,1905.89999961853,56,1
3,1,0,1438.5,64,1
3,1,0,2698.2999997139,73,1
3,0,1,1831.7000002861,78,1
3,1,0,2078.09999990463,57,1
3,0,1,1430.59999990463,56,1
3,0,1,1424.39999961853,55,1
3,0,1,1796.09999990463,42,1
1,1,0,2281.59999990463,76,1
1,0,1,1641.7000002861,76,1
1,0,1,3083.90000009537,89,1
1,0,1,1539.2999997139,94,1
1,0,1,1407.80000019073,88,1
1,0,1,1492.5,90,1
1,1,0,1527.5,95,1
1,1,0,1904.80000019073,84,1
1,0,1,2399.90000009537,44,1
1,1,0,1955,39,1
1,0,1,2659.69999980927,42,1
1,1,0,1720.90000009537,39,1
1,1,0,1598.60000038147,32,1
1,0,1,1767.09999990463,39,1
1,1,0,1487,45,1
1,1,0,1989.69999980927,41,1
1,0,1,2275.5,88,1
1,0,1,1431.2000002861,80,1
1,1,0,1214.40000009537,62,1
1,1,0,2871.10000038147,68,1
1,0,1,1276.2999997139,88,1
1,0,1,1259.90000009537,68,1
1,1,0,6389.40000009537,27,1
1,1,0,20084.5,40,1
2,1,0,2399.5,38,1
2,0,1,1058.89999961853,63,1
2,1,0,1073.80000019073,40,1
2,1,0,1092.59999990463,46,1
2,1,1,1331.90000009537,39,1
2,0,1,948.300000190735,54,1
2,0,1,971.5,55,1
2,1,1,1200.30000019073,54,1
2,0,1,1590.59999990463,52,1
2,0,1,1118.59999990463,56,1
2,0,1,2821.5,61,1
2,0,1,967.400000095367,70,1
2,1,1,1469.40000009537,53,1
2,1,1,1325.69999980927,47,1
2,0,1,1667,55,1
2,0,1,1487.80000019073,55,1
2,1,1,1098.40000009537,47,1
2,1,1,1310,51,1
2,0,1,1840,37,1
2,1,1,2181.5,53,1
2,0,1,1262.80000019073,56,1
2,1,1,1265.5,54,1
2,0,1,1378.60000038147,63,1
2,1,1,1606.80000019073,53,1
