ConditionID,StimPresent,Correct,RT,Confidence,ImageryCheck
3,0,0,3028.5,69,1
3,1,0,1176.39999997616,89,1
3,0,0,539.899999976158,62,1
3,0,0,669.800000071526,19,1
3,0,1,1119.80000007153,71,1
3,1,0,940.899999976158,11,1
3,0,0,431.5,33,1
3,1,0,687.100000023842,84,1
3,1,0,380,63,1
3,0,0,584.399999976158,62,1
3,1,0,624.799999952316,90,1
3,0,0,876,100,1
3,1,0,1166.69999992847,78,1
3,0,1,1766.40000009537,31,1
3,1,1,551.5,33,1
3,0,0,428.900000095367,70,1
3,0,0,471.100000023842,35,1
3,1,0,695.100000023842,20,1
3,1,1,428.5,27,1
3,1,0,1008.89999997616,71,1
3,0,1,1008.40000009537,54,1
3,1,0,694.199999928474,30,1
3,0,0,413.399999976158,64,1
3,1,0,774.700000047684,80,1
3,0,0,1639.70000004768,93,1
3,1,0,853.399999976158,97,1
3,0,0,1492.5,36,1
3,1,1,1773.30000007153,8,1
3,1,0,635.299999952316,78,1
3,0,1,877.899999976158,32,1
3,0,1,1599.5,69,1
3,1,1,798,59,1
3,1,1,393.5,80,1
3,0,1,408,56,1
3,1,0,1056.39999997616,11,1
3,1,1,767.200000047684,35,1
3,1,0,1066.79999995232,63,1
3,0,1,1616.20000004768,72,1
3,0,0,1543.39999997616,39,1
3,1,1,1032.79999995232,71,1
3,1,0,619.5,88,1
3,0,0,934.599999904633,35,1
3,0,1,827.299999952316,88,1
3,0,1,617.699999928474,77,1
3,0,0,881.300000071526,12,1
3,1,1,1052,92,1
3,0,1,1057.5,30,1
3,1,1,874.299999952316,58,1
2,1,1,1584.90000009537,96,1
2,0,0,609.899999976158,69,1
2,1,0,504.799999952316,40,1
2,0,1,376.100000023842,69,1
2,0,0,701.5,56,1
2,1,0,499,71,1
2,0,1,809.599999904633,28,1
2,1,0,1081.39999997616,76,1
2,0,0,722.700000047684,38,1
2,0,1,2548.70000004768,64,1
2,1,1,896.099999904633,29,1
2,0,1,761,71,1
2,0,1,1363.29999995232,58,1
2,0,0,792.5,7,1
2,0,1,1355.39999997616,80,1
2,1,1,818.399999976158,56,1
2,1,1,710,94,1
2,1,0,1008.20000004768,23,1
2,0,1,1310.29999995232,38,1
2,1,1,454.600000023842,3,1
2,1,1,535.5,63,1
2,1,0,833,92,1
2,0,1,416.799999952316,100,1
2,1,1,329.199999928474,58,1
1,1,0,1495.30000007153,62,1
1,1,0,877.600000023842,82,1
1,1,1,452.200000047684,25,1
1,1,1,1121.20000004768,5,1
1,1,0,888.100000023842,70,1
1,1,1,518.5,79,1
1,0,0,541.299999952316,92,1
1,0,0,995,27,1
1,0,1,1042.10000002384,57,1
1,1,1,433.899999976158,58,1
1,1,0,892.700000047684,89,1
1,1,0,418.5,72,1
1,0,0,380.299999952316,26,1
